from,to,position,confidence_before,confidence_after
0,2,2118,1.0,0.9999884725646403
2,1,2120,0.99993795605098,0.9999999999999032
1,0,2121,0.9999999999999032,1.0
0,2,2122,1.0,0.9999999174483242
2,1,2140,0.999999999999694,1.0
1,2,2141,1.0,0.999999999879174
2,0,2152,0.9999999605790933,1.0
0,2,2153,1.0,0.999999997788013
2,1,2159,0.9999997643721905,0.9999999999681748
1,2,2160,0.9999999999681748,0.9999997508431866
2,1,2166,0.9999997763675418,0.9999999995826281
1,2,2167,0.9999999995826281,0.9999999994437125
2,1,2171,0.9999999960521766,0.9999999999980655
1,2,2172,0.9999999999980655,0.9999982991844587
2,1,2191,0.9999999986997778,1.0
1,2,2192,1.0,0.9999999999068727
2,0,2203,0.9999999463155774,0.9930423561575195
0,2,2204,0.9930423561575195,0.9999790371769263
2,1,2205,0.9999790371769263,0.9999999998621565
1,2,2206,0.9999999998621565,0.9998984338510246
2,1,2207,0.9998984338510246,0.9999999970648457
1,2,2208,0.9999999970648457,0.999999999996664
2,1,2209,0.999999999996664,0.999999999999929
1,2,2210,0.999999999999929,0.9999999999134559
2,1,2212,0.9999999998269633,0.9999999947714553
1,2,2213,0.9999999947714553,0.999922652851463
2,0,2220,0.9999858757391321,1.0
0,2,2221,1.0,0.9999998093739575
2,3,2222,0.9999998093739575,1.0
3,2,2223,1.0,0.999942391964115
2,0,2250,0.9999997856895407,1.0
0,2,2251,1.0,0.9996252276916991
2,1,2258,0.9999999999524469,0.9999999878598108
1,2,2259,0.9999999878598108,0.9999999994330047
2,0,2262,0.9999999999829079,1.0
